student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,caffeine_intake,sleep_quality,diet_score,internet_score,part_job_score,stress_proxy,focus_proxy
S1000,23.0,Female,0.0,1.2,1.1,No,85.0,8.0,Fair,6.0,Master,Average,8.0,Yes,56.2,1.4,8.1,0,0,0,2.2104208329583357,8.623023962865009
S1001,20.0,Female,6.9,2.8,2.3,No,97.3,4.6,Good,6.0,High School,Average,8.0,No,100.0,5.0,5.4,1,0,0,3.5103919328914595,6.584671638133876
S1002,21.0,Male,1.4,3.1,1.3,No,94.8,8.0,Poor,1.0,High School,Poor,1.0,No,34.3,2.7,2.9,-1,-1,0,6.466850345354527,5.6666908786014405
S1003,23.0,Female,1.0,3.9,1.0,No,71.0,9.2,Poor,4.0,Master,Good,1.0,Yes,26.8,3.1,4.3,-1,1,0,4.991570792853918,7.017266436961685
S1004,19.0,Female,5.0,4.4,0.5,No,90.9,4.9,Fair,3.0,Master,Good,1.0,No,66.4,4.3,3.1,0,1,0,5.016741761039086,5.732738805353122
S1005,24.0,Male,7.2,1.3,0.0,No,82.9,7.4,Fair,1.0,Master,Average,4.0,No,100.0,3.6,4.0,0,0,0,4.649263192730933,6.479437104353698
S1006,21.0,Female,5.6,1.5,1.4,Yes,85.8,6.5,Good,2.0,Master,Poor,4.0,No,89.8,6.4,3.6,1,-1,1,7.168602335494131,4.873736719566777
S1007,21.0,Female,4.3,1.0,2.0,Yes,77.7,4.6,Fair,0.0,Bachelor,Average,8.0,No,72.6,5.6,2.7,0,0,1,6.19760792228286,4.286827411507582
S1008,23.0,Female,4.4,2.2,1.7,No,100.0,7.1,Good,3.0,Bachelor,Good,1.0,No,78.9,3.0,5.4,1,1,0,3.1793805190016107,7.707386112978938
S1009,18.0,Female,4.8,3.1,1.3,No,95.4,7.5,Good,5.0,Bachelor,Good,10.0,Yes,100.0,4.0,6.4,1,1,0,2.1248770580814793,8.81730495715002
S1010,19.0,Female,4.6,3.7,0.8,No,77.6,5.8,Fair,1.0,,Good,3.0,No,63.3,3.6,4.1,0,1,0,4.98970289911108,6.33682573810509
S1011,23.0,Male,3.9,2.4,2.5,No,71.7,7.9,Fair,2.0,Bachelor,Average,1.0,No,74.4,2.8,4.1,0,0,0,5.488230070531985,6.445029642276107
S1012,19.0,Female,3.7,2.1,0.4,Yes,81.1,4.5,Fair,1.0,Bachelor,Good,9.0,No,76.9,5.0,4.8,0,1,1,4.573440118596735,5.187593498393387
S1013,19.0,Female,3.4,2.7,2.7,No,89.3,4.7,Fair,4.0,Bachelor,Good,10.0,No,75.8,2.2,4.6,0,1,0,3.4550099759277697,6.99404823344219
S1014,24.0,Male,2.4,1.5,0.7,No,87.4,6.7,Poor,6.0,Bachelor,Average,9.0,No,78.9,1.0,7.6,-1,0,0,3.1804468711408664,7.850536737169785
S1015,21.0,Male,3.1,5.0,1.0,No,97.5,6.5,Good,6.0,High School,Average,7.0,No,74.0,3.2,6.2,1,0,0,3.1300271265042454,7.990606674459154
S1016,20.0,Male,1.0,0.6,0.2,No,92.9,5.6,Poor,3.0,High School,Poor,8.0,Yes,55.2,1.0,3.8,-1,-1,0,4.892806227639973,5.1997171465676955
S1017,24.0,Female,3.4,2.7,1.2,No,94.7,7.5,Poor,0.0,High School,Average,1.0,Yes,70.8,3.2,2.1,-1,0,0,6.233479853710026,5.238624971609527
S1018,24.0,Other,2.0,4.9,2.9,Yes,88.3,7.1,Good,2.0,High School,Good,5.0,No,43.9,4.2,4.4,1,1,1,4.811003946760547,6.612865764950103
S1019,19.0,Male,1.8,2.5,2.4,No,71.1,7.5,Fair,1.0,High School,Average,2.0,No,45.3,1.3,4.4,0,0,0,4.6204588841131695,6.205910737904622
S1020,22.0,Female,3.8,2.3,2.9,No,83.0,6.4,Good,3.0,Master,Good,1.0,No,58.5,4.7,4.1,1,1,0,4.17991865368196,6.427377986182619
